region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
Region IV-A,Lemery Colleges,1160,43,1 is to 27
Region IV-A,AMA Computer College-Sta.Cruz,550,25,1 is to 22
Region IV-A,Laguna Santiago Educational Foundation,6,13,1 is to 0
Region IV-A,Colegio San Agustin-Binan,149,21,1 is to 7
Region IV-A,AMA Computer College-East Rizal,1458,30,1 is to 49
Region IV-A,Oblates of Saint Joseph College of Philosophy,59,25,1 is to 2
Region IV-A,Inter-Global College Foundation ,1031,22,1 is to 47
Region IV-A,University of Perpetual Help System-Dalta-Calamba,1829,86,1 is to 21
Region IV-A,La Salle College-Antipolo,1373,52,1 is to 26
Region IV-A,St. Alphonsus School of Theology,13,8,1 is to 2
Region IV-A,IETI College of Science and Technology,218,10,1 is to 22
Region IV-A,Adventist International Institute of Advanced Studies,204,40,1 is to 5
Region IV-A,Binangonan Catholic College,118,29,1 is to 4
Region IV-A,AMA Computer College-Dasmarinas,753,32,1 is to 24
Region IV-A,AMA Computer College-Batangas City,553,22,1 is to 25
Region IV-A,Professional Montessori College,153,5,1 is to 31
Region IV-A,Yaman Lahi Foundation-Emilio Aguinaldo College,1711,109,1 is to 16
Region IV-A,Alitagtag College,83,10,1 is to 8
Region IV-A,AMA Computer College-Lipa,481,19,1 is to 25
Region IV-A,National College of Science and Technology,4624,140,1 is to 33
Region IV-A,Rogationist College,670,51,1 is to 13
Region IV-A,Saint John Colleges,530,34,1 is to 16
Region IV-A,AMA Computer College-Calamba,763,36,1 is to 21
Region IV-A,AMA Computer College-Lucena,400,29,1 is to 14
Region IV-A,Cavite West Point College,1298,24,1 is to 54
Region IV-A,Our Lady of Assumption College System,114,8,1 is to 14
Region IV-A,Southern Philippines Institute of Science and Technology,142,24,1 is to 6
Region IV-A,St. Matthew College,99,11,1 is to 9
Region IV-A,World Citi Colleges-Quezon City,1079,57,1 is to 19
Region IV-A,ABE International College of Business and Economics-Cainta,593,28,1 is to 21
Region IV-A,First Asia Institute of Technology and Humanities,2393,137,1 is to 17
Region IV-A,Holy Child Jesus College,330,30,1 is to 11
Region IV-A,Lyceum of the Philippines-Laguna,2625,109,1 is to 24
Region IV-A,St. Jude College,166,21,1 is to 8
Region IV-A,Saint Francis Institute of Computer Studies,198,17,1 is to 12
Region IV-A,Lyceum of the Philippines-St. Cabrini College of Allied Medicine,269,14,1 is to 19
Region IV-A,Baptist Bible Seminary and Institute,598,16,1 is to 37
Region IV-A,Baptist Voice Bible College,53,9,1 is to 6
Region IV-A,"Philippine Cambridge School of Law, Arts, Sciences, Business Economics and Technology",279,33,1 is to 8
Region IV-A,Calamba Doctors' College,378,43,1 is to 9
Region IV-A,LNC Corinthian Center,64,32,1 is to 2
Region IV-A,STI College-Rosario,409,42,1 is to 10
Region IV-A,Unida Christian College,115,19,1 is to 6
Region IV-A,Columbus College,35,18,1 is to 2
Region IV-A,Casa Del Nino College,64,12,1 is to 5
Region IV-A,Mabini College of Batangas,127,9,1 is to 14
Region IV-A,STI College-Balayan,689,34,1 is to 20
Region IV-A,STI College-Sta. Rosa,1627,87,1 is to 19
Region IV-A,La Consolacion College-Tanauan,371,43,1 is to 9
Region IV-A,AMA School of Medicine-East Rizal,285,22,1 is to 13
Region IV-A,DMMC Institute of Health Sciences,134,36,1 is to 4
Region IV-A,Saint Francis of Assisi College-Cavite,161,16,1 is to 10
Region IV-A,Olivarez College-Tagaytay,558,47,1 is to 12
Region IV-A,St. Dominic College of Arts and Sciences of Cavite,1885,101,1 is to 19
Region IV-A,Power School of Technology,35,15,1 is to 2
Region IV-A,De La Salle Leandro V. Locsin Campus-Canlubang,534,59,1 is to 9
Region IV-A,Philippine Women's University Career Development and Continuing Education Center-Calamba City,742,30,1 is to 25
Region IV-A,Christian College of Tanauan,397,30,1 is to 13
Region IV-A,Our Lady of the Most Holy Rosary Seminary,59,15,1 is to 4
Region IV-A,Batangas Eastern College,438,34,1 is to 13
Region IV-A,Ebenezer International Colleges,49,15,1 is to 3
Region IV-A,"Southdale International School of Science, Arts and Techology",385,25,1 is to 15
Region IV-A,ISHRM School System,1096,27,1 is to 41
Region IV-A,STI College-Dasmarinas,1421,38,1 is to 37
Region IV-A,Quezon Center for Research and Studies,124,17,1 is to 7
Region IV-A,St. Francis de Sales Theological Seminary,12,10,1 is to 1
Region IV-A,Informatics International College-Rizal,395,20,1 is to 20
Region IV-A,PNTC Colleges,4751,45,1 is to 106
Region IV-A,International Peace Leadership College,238,36,1 is to 7
Region IV-A,STI College-Tanauan,329,22,1 is to 15
Region IV-A,Philippine Women's University CDCEC-Sta. Cruz,929,37,1 is to 25
Region IV-A,Manuel S. Enverga University Foundation-San Antonio,119,21,1 is to 6
Region IV-A,All Nations College,87,14,1 is to 6
Region IV-A,International Christian College of Manila,99,17,1 is to 6
Region IV-A,International Evangelical Holiness College,245,36,1 is to 7
Region IV-A,Montessori Professional College-Imus,287,10,1 is to 29
Region IV-A,Teodoro M. Luansing College of Rosario,430,31,1 is to 14
Region IV-A,St. Constantine Institute of Science and Technology,47,11,1 is to 4
Region IV-A,St. Joseph College Amaya,78,15,1 is to 5
