region,higher_education_institution,number_of_students,number_of_faculty,faculty_student_ratio
NCR,Bethel Bible College of the Assemblies of God,69,13,1 is to 5
NCR,Christ the King College of Science and Technology,995,36,1 is to 28
NCR,St. Vincent de Ferrer College of Camarin,219,44,1 is to 5
NCR,Datamex-College of Saint Adeline-Fairview,429,10,1 is to 43
NCR,Access Computer and Technical College-Camarin,933,9,1 is to 104
NCR,Datamex-College of Saint Adeline-Valenzuela,794,10,1 is to 79
NCR,School of Fashion and the Arts,0,23,1 is to 0
NCR,PNTC Colleges-Manila,60,18,1 is to 3
NCR,La Verdad Christian College-Caloocan,107,28,1 is to 4
NCR,Arellano University-Mandaluyong,ND,21,ND
CAR,Abra Valley Colleges,1480,75,1 is to 20
CAR,Baguio Central University,2237,177,1 is to 13
CAR,University of the Cordilleras,13950,391,1 is to 36
CAR,Cordillera Career Development College,2480,92,1 is to 27
CAR,Divine Word College of Bangued,1240,77,1 is to 16
CAR,Philippine Nazarene College,121,24,1 is to 5
CAR,Pines City Colleges,1410,68,1 is to 21
CAR,Saint Louis College of Bulanao,424,35,1 is to 12
CAR,Saint Louis University,36887,999,1 is to 37
CAR,San Pablo Major Seminary,119,25,1 is to 5
CAR,Casiciaco Recoletos Seminary,111,21,1 is to 5
CAR,University of Baguio,12157,388,1 is to 31
CAR,Easter College,347,48,1 is to 7
CAR,Keystone College,128,23,1 is to 6
CAR,STI Education Group Services,442,30,1 is to 15
CAR,Baguio College of Technology,1196,33,1 is to 36
CAR,BVS College,178,15,1 is to 12
CAR,International Christian Colleges ,106,8,1 is to 13
CAR,Cordillera A+ Computer Technology College,125,24,1 is to 5
CAR,AMA Computer College-Baguio,483,21,1 is to 23
CAR,Data Center College of the Philippines of Bangued-Abra,904,36,1 is to 25
CAR,Kalinga Colleges of Science and Technology,919,27,1 is to 34
CAR,Data Center College of the Philippines of Baguio City,302,23,1 is to 13
CAR,Philippines Women's University-Baguio City,1084,38,1 is to 29
CAR,Baguio Christian Mission International College,55,12,1 is to 5
CAR,Kings Colleges of the Philippines-Benguet,2476,108,1 is to 23
CAR,Saint Tonis College,170,27,1 is to 6
CAR,Colegio Nacional,236,36,1 is to 7
CAR,BSBT College,473,27,1 is to 18
CAR,Xijen College of Mt. Province,107,16,1 is to 7
CAR,Pinnacle Colleges of Bangued,20,10,1 is to 2
CAR,Baguio City Academy Colleges,162,12,1 is to 14
CAR,HML International College,62,11,1 is to 6
CAR,Remnant International School ,201,20,1 is to 10
CAR,Triniville Central College ,6,10,1 is to 1
CAR,International School of Asia and the Pacific-Tabuk Branch,85,27,1 is to 3
ARMM,Jamiatu Marawi Al-Islamia Foundation,494,25,1 is to 20
ARMM,Jamiatu Muslim Mindanao,409,16,1 is to 26
ARMM,Jamiatul Philippine Al-Islamia,871,30,1 is to 29
ARMM,Mapandi Memorial College,653,ND,ND
ARMM,Marawi Capitol College Foundation,836,ND,ND
ARMM,Pacasum College,822,ND,ND
ARMM,Datu Mala-Muslim Mindanao Islamic College Foundation,638,15,1 is to 43
ARMM,Bubong Marzok Memorial Foundation College,286,ND,ND
ARMM,Senator Ninoy Aquino College Foundation-Marawi,1227,ND,ND
ARMM,Gani L. Abpi Colleges,155,18,1 is to 9
ARMM,Central Sulu College,388,ND,ND
ARMM,Notre Dame of Jolo College,1827,122,1 is to 15
ARMM,Parang Foundation College,207,ND,ND
ARMM,Shariff Kabunsuan College-Annex,381,20,1 is to 19
ARMM,Sultan Kudarat Islamic Academy Foundation College,133,11,1 is to 12
ARMM,Central Basak Islamic Regional College,38,ND,ND
ARMM,Southwestern Mindanao Islamic Institute,795,35,1 is to 23
ARMM,Tawi-Tawi School of Midwifery,52,ND,ND
ARMM,Abubakar Computer Learning Center Foundation,160,40,1 is to 4
ARMM,Lanao Educational Institute,305,20,1 is to 15
ARMM,Mahardika Institute of Technology,1876,96,1 is to 20
ARMM,Dansalan Polytechnic College,130,ND,ND
ARMM,Philippine Muslim Teachers' College,107,ND,ND
ARMM,Sal Foundation College,ND,8,ND
ARMM,Mindanao Autonomous College Foundation,461,29,1 is to 16
ARMM,Datu Ibrahim Paglas Memorial College,ND,21,ND
ARMM,Cali Paramedical College Foundation,264,ND,ND
ARMM,Saffrullah M. Dipatuan Foundation Academy,247,24,1 is to 10
ARMM,Southern Philippines College of Sciences and Health Education,244,33,1 is to 7
ARMM,Mariam School of Nursing,45,16,1 is to 3
ARMM,Alexian College of Parang,7,12,1 is to 1
ARMM,Lanao College of Criminology,126,ND,ND
ARMM,Lanao Islamic Paramedical College Foundation,67,17,1 is to 4
ARMM,Lake Lanao College,594,16,1 is to 37
ARMM,Hiland Institute Colleges,ND,7,ND
ARMM,Datu Blo Umpar Adiong Agricultural School Foundation,8,6,1 is to 1
ARMM,Bai Malgen Mama College,37,13,1 is to 3
ARMM,Eastern Kutawato College,53,ND,ND
ARMM,Al Kwarizmi International College Foundation,383,31,1 is to 12
ARMM,Hardam Furigay Colleges Foundation,611,32,1 is to 19
CARAGA,Agusan Business and Arts Foundation,106,11,1 is to 10
CARAGA,Agusan Colleges,434,36,1 is to 12
CARAGA,Agusan Del Sur College,900,64,1 is to 14
CARAGA,Agusan Institute of Technology,1237,35,1 is to 35
CARAGA,Asian College Foundation,200,13,1 is to 15
CARAGA,Butuan City Colleges,95,31,1 is to 3
CARAGA,Butuan Doctors' College,507,43,1 is to 12
CARAGA,Don Jose Ecleo Memorial Foundation College of Science and Technology,451,28,1 is to 16
CARAGA,Elisa R. Ochoa Memorial Northern Mindanao School of Midwifery,55,20,1 is to 3
CARAGA,New Northern Mindanao Colleges,976,62,1 is to 16
CARAGA,Northwestern Agusan Colleges,352,29,1 is to 12
CARAGA,Saint Francis Xavier College,1082,44,1 is to 25
CARAGA,Saint Joseph Institute of Technology,3428,109,1 is to 31
CARAGA,Saint Jude Thaddeus Institute of Technology,495,33,1 is to 15
CARAGA,San Francisco Colleges,244,17,1 is to 14
CARAGA,St. Paul University Surigao,2091,107,1 is to 20
CARAGA,Surigao Education Center,1717,93,1 is to 18
CARAGA,Father Saturnino Urios University,5215,288,1 is to 18
CARAGA,West Agusan Colleges,79,16,1 is to 5
CARAGA,Northeastern Mindanao Colleges,1805,59,1 is to 31
CARAGA,Andres Soriano College,623,25,1 is to 25
CARAGA,Saint Michael's College Cantilan,466,30,1 is to 16
CARAGA,Saint Theresa College of Tandag,467,35,1 is to 13
CARAGA,Saint Vincent de Paul Diocesan College,323,30,1 is to 11
CARAGA,Southern Technological Institute of the Philippines,435,39,1 is to 11
CARAGA,Surigao Sur Colleges,121,10,1 is to 12
CARAGA,Siargao Island Institute of Technology,920,47,1 is to 20
CARAGA,Caraga Institute of Technology,677,30,1 is to 23
CARAGA,De La Salle John Bosco College,612,67,1 is to 9
CARAGA,Mt. Carmel College of San Francisco,392,28,1 is to 14
CARAGA,Sunrise Christian College Foundation of the Philippines,74,15,1 is to 5
CARAGA,Saint Michael College of Caraga,626,44,1 is to 14
CARAGA,Southway College of Technology,1035,37,1 is to 28
CARAGA,Holy Child Colleges of Butuan City,1569,49,1 is to 32
CARAGA,STI College-Surigao,668,23,1 is to 29
CARAGA,Balite Institute of Technology-Butuan,15,11,1 is to 1
CARAGA,Saint Peter College Seminary,129,13,1 is to 10
CARAGA,Bucas Grande Foundation College,540,18,1 is to 30
CARAGA,ACLC College of Butuan City,1032,40,1 is to 26
CARAGA,Philippine Electronics and Communication Institute of Technology,148,22,1 is to 7
CARAGA,Rafael A. Mondejar Memorial College,28,10,1 is to 3
CARAGA,Caraga Computer College,54,10,1 is to 5
CARAGA,Golden Gate International Career Institute,56,12,1 is to 5
CARAGA,Candelaria Institute of Cabadbaran,10,8,1 is to 1
Region IV-B,Abada College,1351,43,1 is to 31
Region IV-B,Colegio De San Sebastian-Sablayan,603,28,1 is to 22
Region IV-B,Divine Word College of Calapan,3264,151,1 is to 22
Region IV-B,Divine Word College of San Jose,1442,54,1 is to 27
Region IV-B,Eastern Mindoro College,257,19,1 is to 14
Region IV-B,EMA EMITS College Philippines,501,16,1 is to 31
Region IV-B,Grace Mission College,68,15,1 is to 5
Region IV-B,Holy Trinity University,1153,83,1 is to 14
Region IV-B,St. Mary's College of Marinduque,266,19,1 is to 14
Region IV-B,Loyola College of Culion,37,14,1 is to 3
Region IV-B,Luna Goco Colleges-Calapan,330,32,1 is to 10
Region IV-B,Palawan Polytechnic College,842,41,1 is to 21
Region IV-B,Saint Augustine Seminary,56,15,1 is to 4
Region IV-B,San Francisco Javier College,225,17,1 is to 13
Region IV-B,Santa Cruz Institute,619,21,1 is to 29
Region IV-B,Seminario De San Jose,33,11,1 is to 3
Region IV-B,Educational Systems Technological Institute,668,26,1 is to 26
Region IV-B,"CLCC Institute of Computer, Arts and Technology",125,9,1 is to 14
Region IV-B,Fullbright College,1107,50,1 is to 22
Region IV-B,Marinduque Midwest College,355,39,1 is to 9
Region IV-B,Prince of Peace College,54,9,1 is to 6
Region IV-B,John Paul College,706,47,1 is to 15
Region IV-B,San Lorenzo Ruiz Seminary,24,10,1 is to 2
Region IV-B,Clarendon College,322,27,1 is to 12
Region IV-B,Mina de Oro Institute of Science and Technology,39,11,1 is to 4
Region IV-B,ACMCL College,48,7,1 is to 7
Region IV-B,Palawan Technological College,811,19,1 is to 43
Region IV-B,IATEC Computer College,132,16,1 is to 8
Region IV-B,Innovative College of Science and Technology,2311,47,1 is to 49
Region IV-B,St. Anthony College of Calapan City,346,36,1 is to 10
Region IV-B,Southwestern Institute of Business and Technology,498,20,1 is to 25
Region IV-B,Paradigm College of Science and Technology,181,33,1 is to 5
Region IV-B,Erhard Systems Technological Institute,620,28,1 is to 22
Region IV-B,Institute of Business Science and Medical Arts,200,17,1 is to 12
Region IV-B,Philippine Central Islands College Foundation,136,20,1 is to 7
Region IV-B,ACLC College of Calapan,201,19,1 is to 11
Region IV-B,Pinamalayan Maritime Foundation and Technological Institute,365,22,1 is to 17
Region IV-B,STI College-Puerto Princesa,139,15,1 is to 9
Region IV-B,Remnant Christian College-Palawan,ND,8,ND
Region IV-B,Luna Goco College-Roxas,4,6,1 is to 1
,,1894526,86001,1 is to 22
,,,,
Note,,,,
Based on the submission of Private Higher Education Institutions (PHEIs),,,,
